,Train Score,Test Score,MSE,RMSE
Linear Regression,0.4214694062137251,0.42237888189301664,1146405.176,1070.703
SVR,0.11082473436272178,0.11274355153665461,1760938.707,1327.004
Decision Tree Regressor,0.5315283876868857,0.5223780758294359,947936.682,973.62
Random Forest Regressor,0.5391472288375541,0.5223780758294359,939543.183,969.3
XGBoost Regressor,0.5401381828525963,0.5310931054964657,930639.954,964.697
AdaBoost Regressor,0.48666385909163457,0.4832394007312334,1025615.247,1012.727
Stacking Regressor,0.5422426577244083,0.5223780758294359,933389.32,966.121
